name,locality,numberOfYear12SubjectsTakenByStudents,numberOfVetCertificatesWith2016Enrolments,numberOfStudentsEnrolledInYear12Units,numberOfStudentsEnrolledInVet,numberOfStudentsEnrolledInVcal,percentageVceStudentsApplyingForTertiaryPlaces,percentageSatisfactoryVceCompletions,numberOfStudentsAwardedVceBaccalaureate,percentageVetUnitsOfCompetencyCompleted,percentageVcalUnitsCompleted,medianVceStudyScore,percentageStudyScores40AndMore,rank,numberOfYear12SubjectsTakenByStudentsChange,numberOfVetCertificatesWith2016EnrolmentsChange,numberOfStudentsEnrolledInYear12UnitsChange,numberOfStudentsEnrolledInVetChange,numberOfStudentsEnrolledInVcalChange,percentageVceStudentsApplyingForTertiaryPlacesChange,percentageSatisfactoryVceCompletionsChange,numberOfStudentsAwardedVceBaccalaureateChange,percentageVetUnitsOfCompetencyCompletedChange,percentageVcalUnitsCompletedChange,medianVceStudyScoreChange,percentageStudyScores40AndMoreChange,rankChange
St Leonard's College,Brighton East,41,12,179,28,NA,89,100,10,98,NA,34,20.1,43,4,7,5,5,NA,2,0,2,-1,NA,0,4.2,12
St Margaret's School,Berwick,28,2,98,Less than 4,NA,98,100,8,ID,NA,34,17.2,51,2,-1,1,NA,NA,-2,0,-1,NA,NA,-1,-3.2,-14
St Mary MacKillop College,Swan Hill,27,12,109,102,31,86,100,NA,99,85,30,4.8,196,-6,-3,-4,-41,-1,-8,0,NA,3,-6,1,0.2,55
St Mary of the Angels School,Nathalia,50,32,119,81,44,78,100,NA,79,95,30,4.2,202,1,-2,-22,-1,-1,-3,0,NA,-2,5,3,2.3,189
St Mary's Coptic Orth College,Coolaroo,19,NA,111,NA,NA,86,97,3,NA,NA,27,8.6,338,2,NA,-9,NA,NA,-9,-3,-3,NA,NA,0,1,6
St Michael's Grammar School,St Kilda,44,7,195,13,NA,86,100,20,100,NA,34,15.3,58,4,-2,6,-3,NA,-6,0,3,7,NA,1,0,7
St Monica's College,Epping,53,16,373,318,59,85,100,10,98,99,29,3.4,250,-1,0,-10,38,7,-2,0,-5,1,2,-1,-3.2,-74
St Patrick's College,Ballarat,48,23,344,251,30,69,100,2,97,95,30,5.4,187,8,2,-13,-7,7,-11,2,-3,1,-5,1,2.2,85
St Paul's Anglican Grammar Schl,Warragul,35,6,141,24,NA,91,100,13,95,NA,33,12.7,70,-5,-1,-57,-13,NA,-4,1,1,0,NA,1,2.5,28
St Peter's College,Cranbourne,68,37,319,189,80,79,100,4,94,97,27,0.9,388,9,3,32,-7,21,-2,0,0,6,5,0,-1.4,-7
St Thomas Aquinas College,Tynong,12,NA,18,NA,NA,100,100,5,NA,NA,32,8.6,109,0,NA,-7,NA,NA,35,0,2,NA,NA,4,5.7,208
Star of the Sea College,Brighton,45,14,288,49,17,99,100,8,98,100,34,16.5,54,-4,1,20,-4,9,0,0,-4,4,5,1,1.7,15
Staughton College,Melton South,33,23,122,76,100,82,98,1,72,89,26,0.4,441,-9,-5,-17,-3,20,17,4,NA,8,24,0,-0.2,0
Stawell Secondary College,Stawell,32,24,79,81,45,58,98,NA,83,16,26,0.5,440,7,-6,12,22,11,17,1,NA,-16,-27,2,-0.2,53
Stott's College,Melbourne,10,NA,19,NA,NA,67,93,1,NA,NA,25,0,478,-1,NA,-5,NA,NA,-29,-7,-4,NA,NA,-2,-6.2,-133
Strathcona Baptist Girls GS,Canterbury,35,10,159,12,Less than 4,95,100,26,100,ID,35,24.6,22,2,7,-4,NA,NA,-4,0,1,NA,NA,-1,-1.2,-3
Strathmore Secondary College,Strathmore,42,10,361,22,NA,91,98,12,91,NA,31,8.6,133,-5,0,-10,-4,NA,-1,0,-4,1,NA,-1,-0.4,-30
Sunbury College,Sunbury,46,22,192,159,47,81,98,NA,83,82,26,1.6,424,6,-2,-8,-14,22,6,1,NA,-7,-6,-1,-0.4,-34
Sunbury Downs Sec College,Sunbury,29,10,131,145,68,59,100,2,79,73,31,9.9,125,-1,-6,-10,-3,0,-1,4,NA,1,-21,0,5.3,32
Sunraysia Institute of TAFE,Mildura,2,13,7,35,39,NA,NA,NA,86,60,NA,NA,576,-1,2,3,9,12,NA,NA,NA,2,4,NA,NA,-3
Sunshine College,Sunshine,41,24,209,239,230,96,98,8,87,88,29,4.7,233,-2,2,41,14,8,0,2,2,-4,6,0,2.5,46
Surf Coast Sec College,Torquay,36,23,104,120,18,59,98,NA,91,78,28,1.6,331,-12,1,-25,13,-6,10,-2,NA,3,-3,0,-0.4,-4
Suzanne Cory High School,Werribee,35,NA,427,NA,NA,98,99,64,NA,NA,34,18.3,47,-1,NA,24,NA,NA,-1,-1,15,NA,NA,-1,-1.4,-9
Swan Hill College,Swan Hill,34,20,181,237,102,91,100,NA,73,68,27,2.7,365,1,-4,-18,-27,-13,14,1,NA,-17,-7,2,-0.3,84
Swifts Creek P-12 School,Swifts Creek,17,4,12,8,8,63,100,NA,49,80,24,0,510,4,1,1,1,2,-37,0,NA,-47,44,-5,-15.8,-297
Swinburne Senior Sec College,Hawthorn,62,29,246,80,42,86,97,3,91,93,28,4.4,288,7,4,-16,-5,6,7,6,2,13,-6,0,3.6,50
Swinburne Uni of Tech - TAFE,Croydon,10,20,21,111,91,NA,NA,NA,83,78,NA,NA,577,2,4,-3,-8,-31,NA,NA,NA,13,17,NA,NA,-3
Sydney Road Community School,Brunswick,16,8,22,15,22,70,100,NA,47,98,26,0,447,4,-1,4,-2,-1,3,17,NA,-17,23,3,0,67
Tallangatta Secondary College,Tallangatta,29,16,92,94,29,55,100,NA,99,80,26,3.7,403,-3,-2,7,1,6,-9,0,NA,6,9,-2,3.2,-64
Tarneit Senior College,Tarneit,35,18,172,36,36,97,99,4,80,85,25,0.4,472,-1,4,12,8,8,7,2,2,4,-4,-1,-0.2,-30
Taylors Lakes Sec College,Taylors Lakes,54,31,290,184,86,93,99,10,90,91,26,1.2,431,7,7,21,40,8,1,0,5,-2,2,-1,-1.1,-49
Templestowe College,Templestowe Lower,58,26,293,96,39,58,93,1,83,58,28,3.5,307,-1,2,18,18,18,6,8,NA,-1,-18,0,0.6,11
Terang College Sec Campus,Terang,20,12,24,22,14,92,100,NA,100,93,28,3,316,-7,-4,-11,-7,-1,0,0,NA,11,3,-1,-2.3,-81
The David Scott School,Frankston,6,16,5,38,56,NA,NA,NA,92,72,NA,NA,578,0,3,-5,2,4,NA,NA,NA,4,14,NA,NA,-2
The Geelong College,Newtown,39,6,230,25,NA,96,100,18,94,NA,33,15.2,65,1,-1,-13,-3,NA,0,1,-11,0,NA,-1,-3.9,-16
The Grange P-12 College,Hoppers Crossing,33,22,127,96,72,80,97,1,83,87,28,3.2,312,3,3,-31,-37,-2,11,3,NA,-2,4,3,1.8,156
The Hamilton & Alexandra Coll,Hamilton,36,8,121,56,NA,95,100,8,100,NA,32,9.6,101,-1,-2,-6,-2,NA,1,0,2,1,NA,0,-3.1,-13
The King David School,Armadale,39,12,115,67,NA,100,100,6,90,NA,35,23.1,27,0,1,-9,0,NA,5,0,1,-7,NA,-1,-2.2,-6
The Knox School,Wantirna South,30,4,123,18,NA,97,100,7,95,NA,32,8.4,110,-5,-3,-11,-9,NA,1,0,4,9,NA,0,-0.1,-5
Thomas Carr College,Tarneit,59,39,329,126,53,87,99,9,91,97,27,2,377,9,5,12,-11,-10,-4,0,0,-4,1,0,0.7,22
Thomastown Secondary College,Thomastown,33,13,106,20,Less than 4,76,94,NA,93,ID,24,1.2,489,1,-2,19,-10,NA,1,-1,NA,2,NA,1,-0.7,16
Thornbury High School,Thornbury,44,25,232,101,85,94,99,4,86,87,30,2.9,209,-5,-1,30,-18,13,-1,1,2,8,-1,0,-1.6,-11
Timboon P-12 School,Timboon,24,11,43,31,12,83,100,NA,97,82,25,0,479,-1,-7,8,-6,-1,21,0,NA,-3,-14,-3,0,-137
Tintern Grammar, ,45,11,134,32,NA,89,100,6,83,NA,32,9.8,100,7,3,6,-1,NA,-5,0,0,-2,NA,1,1.3,33
Toorak College,Mount Eliza,35,5,142,14,Less than 4,98,100,9,98,ID,34,19.2,45,-3,-3,9,0,NA,6,0,-8,-2,NA,0,1.5,5
Trafalgar High School,Trafalgar,30,16,124,32,48,73,95,1,94,90,27,2.7,366,5,0,4,-2,12,-15,-5,NA,26,-4,-1,-1,-63
Traralgon College,Traralgon,33,27,125,122,101,58,88,NA,79,61,24,0.9,492,0,4,0,42,29,5,-2,NA,5,-35,1,0.9,23
Trinity College Colac,Colac,40,25,141,106,44,77,100,3,87,88,28,4,299,-4,-6,-35,-7,-4,0,4,NA,-5,-9,1,-0.6,54
Trinity Grammar School,Kew,38,3,268,11,NA,98,99,20,100,NA,35,21.2,32,0,0,13,1,NA,1,-1,-1,0,NA,-1,-3.5,-9
Tyrrell College,Sea Lake,14,8,30,32,9,100,100,NA,96,58,28,12.7,273,-6,-2,-2,-10,2,8,0,NA,2,-42,-1,2.3,-59
University High School,Parkville,54,16,401,32,NA,99,100,68,95,NA,33,14.9,67,-19,-4,-61,-4,NA,4,0,6,34,NA,1,0.1,16
Upper Yarra Secondary College,Yarra Junction,41,19,78,64,36,84,95,NA,72,98,25,2.2,458,11,4,-7,6,-2,-7,0,NA,-15,30,-1,0.5,-28
Upwey High School,Upwey,55,32,158,108,35,77,100,NA,91,92,26,3.3,405,12,5,5,6,-5,10,13,NA,-4,15,-1,1.6,-11
Vermont Secondary College,Vermont,55,26,348,57,5,92,100,18,100,46,31,8.9,129,6,6,71,22,NA,-5,0,1,1,NA,0,0.6,7
Victoria University - TAFE,Footscray,21,5,52,44,54,54,86,NA,77,35,21,0,529,1,2,-4,34,45,8,12,NA,66,-31,2,-0.8,2
Victoria University SC,St Albans,47,23,177,138,99,89,97,NA,95,79,26,2.5,410,3,1,-2,6,2,4,6,NA,0,-7,-1,-0.1,-37
Victorian College for the Deaf,Melbourne,NA,3,NA,7,13,NA,NA,NA,55,37,NA,NA,579,NA,-4,NA,-3,-1,NA,NA,NA,-4,-24,NA,NA,-2
Victorian College of the Arts,Southbank,26,1,207,26,NA,69,96,2,100,NA,33,16.1,62,2,0,12,0,NA,0,2,0,3,NA,-2,-7.2,-30
Victory Christian College,Strathdale,30,11,40,13,NA,74,100,NA,96,NA,29,3.5,249,-9,1,-17,-3,NA,6,0,NA,37,NA,0,-1.7,-12
Victory Lutheran College,West Wodonga,25,9,84,69,10,66,100,NA,96,77,28,4.2,294,1,0,19,6,NA,-3,3,NA,-2,NA,-3,-6.8,-177
Viewbank College,Rosanna,56,20,291,66,NA,88,99,23,98,NA,32,10.4,96,5,2,14,26,NA,0,0,0,14,NA,0,0.6,5
Wallan Secondary College,Wallan,40,24,102,78,53,39,82,1,76,70,22,0.8,523,5,3,44,-1,21,-12,-2,NA,-4,-12,-3,0.1,-47
Wanganui Park Sec College,Shepparton,53,21,220,130,88,74,96,2,70,78,27,2.3,374,2,0,-28,-4,6,4,-3,0,-10,-2,0,-0.6,-9
Wangaratta High School,Wangaratta,45,27,158,112,50,58,95,5,82,58,27,4.4,347,9,1,-9,10,-12,1,5,4,-4,6,-1,0.1,-53
Wantirna College,Wantirna,54,34,264,120,47,78,98,6,92,84,28,3.8,305,-1,7,41,37,7,-6,1,2,5,-7,0,-0.8,-13
Warracknabeal Sec College,Warracknabeal,22,15,33,24,23,88,100,NA,100,62,29,6.1,218,-7,-1,-10,-12,-8,4,0,NA,8,4,2,3.2,148
Warragul Regional College,Warragul,46,30,170,110,76,65,99,2,84,94,27,2.5,369,0,3,23,20,11,-1,4,NA,-5,-2,2,-1.6,78
Warrandyte High School,Warrandyte,37,21,115,45,Less than 4,75,96,NA,78,ID,28,2.7,319,3,9,-21,-30,NA,12,5,NA,-17,NA,2,-1.5,92
Warrnambool College,Warrnambool,48,27,238,99,64,71,94,5,80,91,27,3.3,357,-2,2,-23,7,39,-3,-1,-2,-11,3,-2,-1.5,-111
Waverley Christian College,Wantirna South,49,27,249,65,20,92,100,22,86,99,33,10.8,76,-3,10,-11,27,16,-1,1,6,4,13,0,-1,0
Wedderburn College,Wedderburn,22,14,38,52,17,50,100,NA,63,47,27,0,397,-2,0,8,-4,3,-21,0,NA,0,-29,-2,-4.2,-138
Wellington Secondary College,Mulgrave,54,20,442,60,34,96,100,20,98,100,29,4.9,229,-1,-5,7,7,-4,3,0,4,4,11,-1,-1.2,-46
Werribee Secondary College,Werribee,79,43,341,142,82,85,94,13,81,92,30,9.2,165,1,3,28,0,1,4,0,-1,16,0,0,-0.9,-4
Werrimull P-12 College,Werrimull,7,2,5,Less than 4,4,25,100,NA,ID,100,26,0,448,-1,1,-3,NA,NA,-75,0,NA,NA,NA,-3,0,-164
Wesley College,Melbourne,46,6,165,26,NA,92,99,3,100,NA,32,10.1,98,0,-3,-8,-12,NA,-1,-1,-6,2,NA,-1,-2,-23
Wesley College,Glen Waverley,35,4,120,15,NA,99,100,10,97,NA,32,8.7,108,3,-1,3,1,NA,1,0,-2,-3,NA,0,0.8,2
Westall Secondary College,Clayton South,36,18,130,63,40,86,99,11,79,69,27,3.6,354,8,6,33,29,-12,2,-1,6,-6,-24,-1,-1.5,-64
Westbourne Grammar School,Truganina,34,NA,203,NA,NA,99,100,21,NA,NA,34,16.5,55,1,NA,14,NA,NA,0,0,-2,NA,NA,0,1.3,1
Western Heights Sec College,Hamlyn Heights,38,22,100,146,69,38,83,NA,63,63,24,0.6,494,-9,-5,-53,-36,12,-1,-6,NA,7,-7,0,-0.5,-5
Western Port Sec College,Hastings,45,32,82,83,49,61,97,NA,87,85,25,0,480,8,11,-9,9,6,-8,1,NA,2,19,0,-0.5,-1
Western Senior Sec Coll,West Melbourne,1,2,43,74,88,NA,NA,NA,25,33,NA,NA,580,-1,1,-8,21,21,NA,NA,NA,-33,-43,NA,NA,-2
Wheelers Hill Sec College,Wheelers Hill,37,15,122,23,NA,72,98,4,73,NA,26,1.4,426,1,5,20,4,NA,-10,1,2,-7,NA,-1,-3.4,-77
Whitefriars College,Donvale,45,20,307,113,33,87,98,7,96,98,30,4.5,198,-5,-1,18,9,-4,-5,-2,-5,3,-2,0,-1.4,-13
Whittlesea Secondary College,Whittlesea,33,20,144,198,54,57,96,NA,79,86,26,2.4,413,-2,-6,7,-15,-14,-14,3,NA,5,5,-1,0.1,-30
William Angliss Inst of TAFE,Melbourne,10,3,12,34,35,0,0,NA,65,76,NA,NA,581,8,-1,-4,-9,-9,NA,NA,NA,6,6,NA,NA,-2
William Ruthven Sec College,Reservoir,25,15,98,29,16,90,92,NA,76,71,26,0.9,435,1,3,16,-1,7,4,8,NA,11,6,1,-0.2,36
Williamstown High School,Williamstown,55,22,402,98,37,79,98,11,85,94,32,9.1,104,-1,6,7,12,13,-5,-1,-5,-6,6,1,0.9,34
Wodonga Institute of TAFE,Wodonga,8,18,5,69,78,0,0,NA,66,69,NA,NA,582,NA,7,NA,19,27,NA,NA,NA,-24,-14,NA,NA,-2
Wodonga Senior Sec College,Wodonga,64,37,272,530,189,44,91,NA,94,67,24,2.5,483,-4,-8,-145,-42,-70,-6,-4,NA,-1,1,-1,0.7,-20
Wonthaggi Secondary College,Wonthaggi,46,26,194,209,57,72,98,2,82,84,27,4,350,7,-5,21,-22,-7,-3,-1,-1,4,3,-1,0,-52
Woodleigh School,Langwarrin South,50,20,131,33,NA,96,100,9,96,NA,31,12.4,118,0,-6,-26,-7,NA,0,0,1,-1,NA,-2,-2.4,-48
Wycheproof P-12 College,Wycheproof,14,6,16,11,Less than 4,100,100,NA,93,ID,31,2.9,159,3,-1,1,-4,NA,0,0,NA,-3,NA,3,2.9,184
Wyndham Central Sec Coll,Werribee,42,30,116,86,61,87,93,NA,69,85,24,0.4,499,5,7,9,7,31,12,4,NA,4,-9,-3,-1.7,-110
Wyndham Community Centre,Werribee,4,13,20,50,49,NA,NA,NA,98,98,NA,NA,583,0,2,1,-7,-6,NA,NA,NA,0,1,NA,NA,-2
Xavier College,Kew,43,7,391,23,NA,94,100,50,90,NA,34,17,53,4,0,-8,-19,NA,-3,0,5,-2,NA,1,2,14
Yarra Hills Secondary College,Mooroolbark,42,35,110,87,43,73,100,NA,78,94,25,0.7,468,13,10,45,27,19,-11,5,NA,-13,2,0,0.1,10
Yarra Valley Grammar School,Ringwood,44,10,312,14,NA,86,100,29,95,NA,34,17.2,52,2,3,12,-15,NA,-5,1,13,0,NA,0,-2.9,-6
Yarram Secondary College,Yarram,30,15,62,55,47,64,100,NA,59,84,25,2.6,455,1,4,-7,2,27,13,8,NA,-19,-14,1,2,39
Yarrawonga College P-12,Yarrawonga,20,19,55,96,39,91,95,NA,79,66,26,0.9,436,-6,2,-13,18,10,21,14,NA,-19,-9,-2,-3.4,-141
Yea High School,Yea,31,12,94,42,21,86,96,NA,85,98,25,1.8,461,-8,-5,12,-11,-13,13,-4,NA,4,-2,-3,-2.7,-168
Yeshivah College,St Kilda East,20,6,53,55,9,100,100,NA,79,NA,33,15.6,63,4,0,10,1,-1,17,0,NA,-11,NA,-4,-5,-55
Yesodei HaTorah College,Brighton,10,3,23,27,NA,50,100,NA,99,NA,34,24,38,-2,-2,2,-5,NA,-13,0,NA,-1,NA,0,-13.9,2
Yuille Park Community College,Delacombe,1,3,Less than 4,6,10,NA,ID,NA,59,23,ID,ID,584,NA,1,NA,-2,1,NA,NA,NA,-24,-13,NA,NA,-2
