name,locality,numberOfYear12SubjectsTakenByStudents,numberOfVetCertificatesWith2016Enrolments,numberOfStudentsEnrolledInYear12Units,numberOfStudentsEnrolledInVet,numberOfStudentsEnrolledInVcal,percentageVceStudentsApplyingForTertiaryPlaces,percentageSatisfactoryVceCompletions,numberOfStudentsAwardedVceBaccalaureate,percentageVetUnitsOfCompetencyCompleted,percentageVcalUnitsCompleted,medianVceStudyScore,percentageStudyScores40AndMore,rank,numberOfYear12SubjectsTakenByStudentsChange,numberOfVetCertificatesWith2016EnrolmentsChange,numberOfStudentsEnrolledInYear12UnitsChange,numberOfStudentsEnrolledInVetChange,numberOfStudentsEnrolledInVcalChange,percentageVceStudentsApplyingForTertiaryPlacesChange,percentageSatisfactoryVceCompletionsChange,numberOfStudentsAwardedVceBaccalaureateChange,percentageVetUnitsOfCompetencyCompletedChange,percentageVcalUnitsCompletedChange,medianVceStudyScoreChange,percentageStudyScores40AndMoreChange,rankChange
Canterbury Girls Sec College,Canterbury,45,10,267,25,NA,89,99,24,92,NA,32,11.2,91,-10,-3,10,3,NA,-5,-1,-2,-3,NA,0,-1.9,-5
Carey Baptist Grammar School,Kew,42,10,227,17,NA,97,99,28,70,NA,33,14.6,68,1,4,2,11,NA,4,-1,-1,-24,NA,0,4.1,12
Caroline Chisholm Catholic Coll,Braybrook,73,38,384,216,69,91,100,10,67,84,29,4.3,235,19,15,55,31,16,2,1,3,-7,-8,-1,-0.8,-44
Carrum Downs Sec College,Carrum Downs,42,31,138,102,67,79,97,NA,77,87,25,0.6,469,-5,-4,-38,-8,-2,9,2,NA,-15,-1,0,-0.8,-2
Carwatha College P-12,Noble Park North,41,21,123,38,18,89,98,4,92,95,26,1.9,418,7,5,-3,5,-9,11,-2,1,12,4,1,0.9,54
Casey Grammar School,Cranbourne,29,7,120,10,NA,79,100,2,87,NA,30,4.6,197,2,1,27,3,NA,-10,0,1,-13,NA,3,2,175
Casterton Secondary College,Casterton,18,14,16,21,22,50,83,NA,100,95,32,11.5,89,-4,4,-9,5,7,-28,-17,NA,2,-1,-2,0.4,-28
Castlemaine Secondary College,Castlemaine,35,14,137,100,24,63,100,4,59,79,28,4.1,295,-7,1,-25,-14,-7,5,0,0,-9,-2,2,2,127
Cathedral College,Wangaratta,27,12,66,14,NA,70,97,1,89,NA,29,6.6,214,-5,7,13,8,NA,5,0,-2,8,NA,0,1,19
Catherine McAuley College,Bendigo,50,21,349,187,79,85,100,3,88,84,29,6.5,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
